﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Feltmåling nr;Startdato;Dybde;Parameter;Resultat-attribut;Resultat;Enhed;Kvalitetsmærke
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;25-08-2004;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/de965a3a-9b52-4781-b329-b5637a9af06f;FRB1324;32;699103;6204768;1;25-08-2004 10:25:00 +02:00;;Temperatur; =;14,5;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;04-12-1995;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/64188372-6e21-4f34-a3ca-2a288106f068;FRB1324;32;699103;6204768;1;04-12-1995 10:10:00 +01:00;;Temperatur; =;3,4;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;09-04-1997;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7a36ce86-2483-4753-8159-5171b015ebb9;FRB1324;32;699103;6204768;1;09-04-1997 07:49:00 +02:00;;Temperatur; =;5,1;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;03-06-1998;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/69a565ac-455c-404a-93f2-4bf0f2eb5d53;FRB1324;32;699103;6204768;1;03-06-1998 06:57:00 +02:00;;Oxygen indhold; =;9,8;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;29-12-1998;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c84f0bfd-9bbf-44c1-a1b9-aaff3f168911;FRB1324;32;699103;6204768;1;29-12-1998 08:05:00 +01:00;;Oxygen indhold; =;11,5;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;27-02-2007;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d7189a15-6f60-454a-a49d-3216da2db669;FRB1324;32;699103;6204768;1;27-02-2007 08:30:00 +01:00;;Temperatur; =;2,9;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;20-04-2010;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/469446c3-4d16-469d-8417-988fb9502033;FRB1324;32;699103;6204768;1;20-04-2010 08:20:00 +02:00;;Temperatur; =;5,6;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;25-03-1998;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a394aa30-2c73-44fa-8fc1-81bf9d6f9e2a;FRB1324;32;699103;6204768;1;25-03-1998 08:13:00 +01:00;;Oxygen indhold; =;12,3;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;29-03-1995;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d71264f4-d56e-4c01-8b71-efc5d57addbd;FRB1324;32;699103;6204768;1;29-03-1995 08:59:00 +02:00;;Temperatur; =;2,4;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;23-10-1996;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7db6dbdc-aa64-4d15-8e65-c421b285966c;FRB1324;32;699103;6204768;1;23-10-1996 07:27:00 +02:00;;Oxygen indhold; =;9,3;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;24-06-2020;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/eea16538-f80a-4302-899a-314d6cc3291f;FRB1324;32;699103;6204768;1;24-06-2020 11:00:00 +02:00;;Temperatur; =;19,4;grader C;2
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;17-08-2005;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d3174ccd-e7d2-4263-ad7d-00402fd5ba22;FRB1324;32;699103;6204768;1;17-08-2005 11:50:00 +02:00;;Temperatur; =;12,2;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;27-08-1997;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/73285b98-d13c-4168-9ccb-257c6b91df5d;FRB1324;32;699103;6204768;1;27-08-1997 07:33:00 +02:00;;Oxygen indhold; =;6,8;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;03-01-2006;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e2782c23-d61c-43db-81cd-975b303c56f9;FRB1324;32;699103;6204768;1;03-01-2006 08:50:00 +01:00;;Temperatur; =;3,2;grader C;2
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;04-08-1999;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/87b9de91-3fc3-4422-909d-7911b44d397b;FRB1324;32;699103;6204768;1;04-08-1999 08:40:00 +02:00;;Temperatur; =;12,5;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;15-09-1999;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/97b4a624-22aa-4e4f-b82d-923a8e4a5faf;FRB1324;32;699103;6204768;1;15-09-1999 08:50:00 +02:00;;Temperatur; =;11,6;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;07-10-1998;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0918bdf6-4fff-4230-b192-2cd0160c6d36;FRB1324;32;699103;6204768;1;07-10-1998 07:18:00 +02:00;;Oxygen indhold; =;9,1;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;10-10-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1ec092c3-4eb6-48dd-b329-a544e3b833b7;FRB1324;32;699103;6204768;1;10-10-2001 09:55:00 +02:00;;Oxygen indhold; =;8,8;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;05-02-2020;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6be7f820-a804-45d8-865d-2c0a2e543743;FRB1324;32;699103;6204768;1;05-02-2020 12:45:00 +01:00;;pH; =;8,1;pH;2
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;30-08-2000;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7989eea7-479c-4e11-8438-f5d7a22ce4b4;FRB1324;32;699103;6204768;1;30-08-2000 08:25:00 +02:00;;Temperatur; =;11,2;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;25-09-2002;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/46b03649-2bcb-45e4-972c-07c466032103;FRB1324;32;699103;6204768;1;25-09-2002 07:10:00 +02:00;;Oxygenmætning; =;77;pct;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;30-01-2002;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3562d553-ab89-4910-af4e-bcc148f98362;FRB1324;32;699103;6204768;1;30-01-2002 08:25:00 +01:00;;Oxygen indhold; =;9,3;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;23-09-1998;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4fe36248-c1b1-4bc0-9be2-33cd2ed1ba2f;FRB1324;32;699103;6204768;1;23-09-1998 07:04:00 +02:00;;Oxygen indhold; =;7,9;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;22-11-2000;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a3c6c22d-121a-4c7e-ba46-ee39c7aca008;FRB1324;32;699103;6204768;1;22-11-2000 08:10:00 +01:00;;Oxygen indhold; =;8,1;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;12-02-1997;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fe9425aa-ba75-48ca-801c-e0110d96373a;FRB1324;32;699103;6204768;1;12-02-1997 10:20:00 +01:00;;Oxygen indhold; =;12;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;03-06-1998;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/69a565ac-455c-404a-93f2-4bf0f2eb5d53;FRB1324;32;699103;6204768;1;03-06-1998 06:57:00 +02:00;;Temperatur; =;12,7;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;17-02-1999;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b5b7f868-c018-4282-83bb-9de955621e64;FRB1324;32;699103;6204768;1;17-02-1999 08:40:00 +01:00;;Temperatur; =;1,7;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;25-11-1997;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/07cc8ae1-c096-46a6-8308-2fafda5765ad;FRB1324;32;699103;6204768;1;25-11-1997 10:55:00 +01:00;;Oxygen indhold; =;12;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;20-11-2018;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d7e1ef71-4f0a-49f3-a5d3-68b67e7a9e5d;FRB1324;32;699103;6204768;1;20-11-2018 09:00:00 +01:00;;pH; =;8,2;pH;2
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;24-05-2000;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1db68dd9-a597-4d6c-924c-812cc01e80e6;FRB1324;32;699103;6204768;1;24-05-2000 08:50:00 +02:00;;Oxygen indhold; =;8,9;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;23-04-1997;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0f602442-67b1-4351-aabd-4b7f4fadfe2a;FRB1324;32;699103;6204768;1;23-04-1997 07:52:00 +02:00;;Oxygen indhold; =;14,4;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;28-05-1999;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7d6b370e-4779-42f7-b85d-ca72c9dd8117;FRB1324;32;699103;6204768;1;28-05-1999 10:15:00 +02:00;;Oxygen indhold; =;13,6;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;20-03-2012;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0939db64-4256-4e0a-8624-60ee97264697;FRB1324;32;699103;6204768;1;20-03-2012 08:30:00 +01:00;;pH; =;7,9;pH;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;22-06-2006;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6b1773f8-fb08-484d-85ed-bd4cd86178b1;FRB1324;32;699103;6204768;1;22-06-2006 08:40:00 +02:00;;Oxygenmætning; =;97;pct;2
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;10-04-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3731e3d8-a53a-4035-a0b3-e92357cf9820;FRB1324;32;699103;6204768;1;10-04-2001 08:20:00 +02:00;;Temperatur; =;4,7;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;24-01-2012;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/90bc5002-f3ef-427e-bf68-436a9a74d200;FRB1324;32;699103;6204768;1;24-01-2012 08:35:00 +01:00;;Temperatur; =;1,9;grader C;3
