Stedtype,StedID,Stedtekst,GeoZone,x-koordinat,y-koordinat,Kommune,Region,Medie,Vandområde,Dato,Måling nr,Undersøgelsestype,Teknisk anvisning,Dataejer,Link,Målested navn,Målested GeoZone,"Målested, x-koordinat","Målested, y-koordinat",Dybdemåling nr,Startdato,Bunddybde (m),Sigtdybde (m),Springlag,Springlag startdybde (m),Springlag slutdybde (m),Sigt til bund,Højdereference,Referencekote (m),Målt vandstand (m),Vandstandskote (m),Kvalitetsmærke
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,2/7/24,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/064cb97b-d830-4279-9ae3-e7e6813abe59,49000042,32,"6,938,980,170,014,180","6,209,573,957,434,570",1,02-07-2024 10:58:53 +02:00,"4,6","0,55",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,14-09-1978,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/0877484c-a643-4365-9840-b98fd5a4ce01,Aktivitetssted,32,693898,6209574,1,14-09-1978 09:00:00 +01:00,9999,"0,2",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,6/8/96,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/79d74ef6-4bbf-452e-b72e-863d1217ab92,Aktivitetssted,32,693898,6209574,1,06-08-1996 11:00:00 +02:00,"4,5","0,6",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,29-09-2011,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/3af4600b-f03d-42ef-bee7-d149e7d4e076,Aktivitetssted,32,693898,6209574,1,29-09-2011 11:23:00 +02:00,"4,5","0,35",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,17-08-2018,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/23258d59-b488-473a-95a0-424670d00b10,Aktivitetssted,32,693898,6209574,1,17-08-2018 09:30:00 +02:00,"4,2","0,4",,,,Nej,,,,,3
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,30-04-2013,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/e24d9b36-f797-4239-87b1-8cafae1155fa,Aktivitetssted,32,693898,6209574,1,30-04-2013 10:15:00 +02:00,"4,5","0,4",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,15-06-2006,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/c8432213-58fe-4e8e-924f-a75b1c05ee18,Aktivitetssted,32,693898,6209574,1,15-06-2006 10:45:00 +02:00,"4,6","0,7",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,16-02-1993,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/2729d740-2adf-4434-b315-fefc65671f93,Aktivitetssted,32,693898,6209574,1,16-02-1993 10:30:00 +01:00,"4,9","0,4",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,12/9/11,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/3b420f78-5d58-4146-8655-9a176ba092a1,Aktivitetssted,32,693898,6209574,1,12-09-2011 11:00:00 +02:00,"4,5","0,55",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,19-10-1993,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/eeb1cb6e-8627-447b-a4d1-bc2d61aefe96,Aktivitetssted,32,693898,6209574,1,19-10-1993 11:30:00 +01:00,"4,7","0,2",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,8/12/92,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/07539606-3b7d-405e-ad4f-c1c3b8c88621,Aktivitetssted,32,693898,6209574,1,08-12-1992 10:30:00 +01:00,"4,2","0,2",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,10/12/13,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/17caf1a3-23c3-46a0-9e0a-adfa7be2c128,Aktivitetssted,32,693898,6209574,1,10-12-2013 11:04:00 +01:00,"4,9","0,5",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,23-03-2009,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/3b34fbfb-f0d6-48e1-b723-26479b0531a4,Aktivitetssted,32,693898,6209574,1,23-03-2009 10:30:00 +01:00,"4,5","0,7",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,19-08-2004,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/f61f6306-7229-4beb-9ce7-e2a1931fe8c2,Aktivitetssted,32,693898,6209574,1,19-08-2004 11:30:00 +02:00,"4,6","0,49",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,21-04-2008,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/38df232a-d6ce-4587-bf97-98dee87d9dff,Aktivitetssted,32,693898,6209574,1,21-04-2008 11:25:00 +02:00,"4,8","0,6",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,26-09-2000,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/75b9d2b6-b0c3-4d94-8330-fac0916209ab,Aktivitetssted,32,693898,6209574,1,26-09-2000 10:30:00 +02:00,"4,7","0,5",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,13-10-1989,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/8780a9e3-fb37-4bb0-abcf-50f91d46a126,Aktivitetssted,32,693898,6209574,1,13-10-1989 10:00:00 +01:00,4,"0,4",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,24-09-1997,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/b241c52e-da3e-4286-8279-3f94edce72d8,Aktivitetssted,32,693898,6209574,1,24-09-1997 10:50:00 +02:00,"4,5","0,3",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,15-08-1991,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/3e2b48ad-01d2-4612-8494-153f705bb023,Aktivitetssted,32,693898,6209574,1,15-08-1991 10:00:00 +02:00,"4,6","0,3",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,16-08-2022,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/9d4d3f78-2150-4d03-9e76-33cc5c3a31c4,Aktivitetssted,32,"6,938,979,998,364,560","6,209,574,003,611,640",1,16-08-2022 09:00:00 +02:00,"4,4","0,35",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,8/4/98,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/73612b53-674a-4641-b2d0-47bd983a4afb,Aktivitetssted,32,693898,6209574,1,08-04-1998 10:45:00 +02:00,5,"0,7",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,2/2/89,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/b2faecb8-9794-469c-8ee7-ae517493e6a9,Aktivitetssted,32,693898,6209574,1,02-02-1989 09:00:00 +01:00,"4,1","0,4",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,4/6/96,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/c7a319a1-ebfa-4fed-8160-84ef14ca4099,Aktivitetssted,32,693898,6209574,1,04-06-1996 10:15:00 +02:00,"4,5","0,5",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,20-09-1994,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/cc207ea0-b458-4dbb-a072-d3f2e997add7,Aktivitetssted,32,693898,6209574,1,20-09-1994 10:45:00 +02:00,"4,5","0,2",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,23-10-2014,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/b4d482cd-66d7-4fc7-a410-d1f8cf03de6e,Aktivitetssted,32,693898,6209574,1,23-10-2014 09:30:00 +02:00,"4,6","0,6",,,,Nej,,,,,3
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,26-08-1998,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/55ac8c62-d7cb-4c55-a174-4237e99d5b87,Aktivitetssted,32,693898,6209574,1,26-08-1998 10:50:00 +02:00,"4,8","0,3",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,3/8/76,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/846d4f4b-91e0-4526-a75d-45fd2b2a968b,Aktivitetssted,32,693898,6209574,1,03-08-1976 09:00:00 +01:00,9999,"0,3",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,11/8/98,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/f2768b79-402f-4c37-bc78-777b188570d5,Aktivitetssted,32,693898,6209574,1,11-08-1998 10:55:00 +02:00,"4,7","0,5",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,14-10-2010,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/61f676e9-8847-4068-af0b-889cbb60714e,Aktivitetssted,32,693898,6209574,1,14-10-2010 12:20:00 +02:00,"4,5","0,4",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,7/8/01,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/3885df3b-0699-4fb4-992a-55a29fec42c5,Aktivitetssted,32,693898,6209574,1,07-08-2001 11:45:00 +02:00,"4,4","0,5",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,27-05-1997,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/fcaa9451-85be-4795-8d4c-2ed1ffccbebe,Aktivitetssted,32,693898,6209574,1,27-05-1997 10:30:00 +02:00,"4,8","0,5",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,19-10-1977,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/962c1a72-746d-4d42-8b37-7efc4148df63,Aktivitetssted,32,693898,6209574,1,19-10-1977 09:00:00 +01:00,9999,"0,2",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,16-09-2013,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/5c63ae4b-fc96-45ae-a0bd-199dc7b4730a,Aktivitetssted,32,693898,6209574,1,16-09-2013 10:00:00 +02:00,"4,5","0,55",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,2/7/18,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/4aeed2fe-9ebb-4ca9-aadd-df6a95132e3a,Aktivitetssted,32,693898,6209574,1,02-07-2018 10:00:00 +02:00,"4,4","0,25",,,,Nej,,,,,3
