﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Dybde (m);Faktiske dybder (m);Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;17-05-1977;1;Vandkemi, Sø;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c987565f-47e9-42f1-b84d-3c923fd62578;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Enkeltprøve;0;0;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,31;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;07-09-1993;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/69cb2774-cb7b-41c9-9f9a-11c0bb45ee53;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,3666666666666667;"0,6; 0,3; 0,2";1;Total;;253;Nitrogen,total N; =;4,58;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;20-05-2014;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8b133c8c-2d80-4f7b-bc53-37e75caf755d;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,7666666666666666;"1,4; 0,7; 0,2";1;Total;;40;Glødetab,susp.stof; =;14;mg/l;1;;3
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;10-01-2012;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/10e9a0f8-1678-4fef-aac3-6d48788131e9;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,4166666666666667;"0,7; 0,35; 0,2";1;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N; =;0,31;mg/l;0,005;;3
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;08-06-2004;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0731bd63-6e66-415f-96e4-b4229127d5d8;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,5166666666666667;"0,9; 0,45; 0,2";1;Opløst - filtrat fra filtrering;;25;Farvetal-Pt; =;29;mg Pt/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;20-09-1994;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/05f60368-89c8-451e-86a7-6e4fae130780;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,35;"0,2; 0,5";1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;0,05;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;13-01-2016;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/40fe366c-8467-4dff-8453-4bef485f65df;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,1;0,1;1;Total;;53;Alkalinitet,total TA; =;2,8;mmol/l;0,1;;3
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;04-11-2003;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d6f050c0-8ad5-490d-8086-2cfef1fa8991;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,5666666666666667;"1; 0,5; 0,2";1;Total;;1039;Chlorophyl (ukorrigeret); =;110;µg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;25-08-2008;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/32582030-1275-42c4-a3e8-a21771bd2761;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,3666666666666667;"0,6; 0,3; 0,2";1;Total;;40;Glødetab,susp.stof; =;27;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;31-05-2010;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0dd9cd5c-11c1-4d5f-bfb3-660c15368a74;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,5166666666666667;"0,9; 0,45; 0,2";1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;0,034;mg/l;9999999;;3
