﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;26-04-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/2f6a9d5a-6aaa-4dea-99dc-5b8d1c3aa095;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;13;pH; =;8,5;pH;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;07-06-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7de4c88b-42ea-4766-bff8-436c5875d504;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;435;BOD ufortyndet;>;8,5;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;07-06-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7de4c88b-42ea-4766-bff8-436c5875d504;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;13;pH; =;8,6;pH;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;19-07-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0cc72ae9-b397-4ff0-bdfc-939a57c9f5f6;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,032;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;02-08-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/154879f1-021e-4c17-8402-b37677ceeb4c;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,084;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;16-08-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/dd3d53e6-6f32-43a3-987f-3e3828eaae6b;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;312;Jern; =;0,81;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;30-08-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c02c8604-9ac5-4c1c-b209-02d50a908959;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,05;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;06-09-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/28598957-66f9-4ba6-b38f-93e271b41dfb;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;435;BOD ufortyndet; =;4,6;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;08-11-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ac473b83-0ca8-4691-9dbd-92ce7efbbdcc;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;312;Jern; =;0,66;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;22-11-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9dc7927d-aabc-4b8e-8f86-f9ae4e4a2c75;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,16;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;20-12-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/301f5d8a-bf1b-4bf8-8838-1b59830e9350;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;0,185;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;06-12-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/44a1fb95-af8d-4f63-8e9e-f09928324092;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,043;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;06-12-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/44a1fb95-af8d-4f63-8e9e-f09928324092;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;2,65;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;20-12-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/301f5d8a-bf1b-4bf8-8838-1b59830e9350;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;435;BOD ufortyndet; =;2,1;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;06-12-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/44a1fb95-af8d-4f63-8e9e-f09928324092;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,16;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;06-12-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/44a1fb95-af8d-4f63-8e9e-f09928324092;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;435;BOD ufortyndet; =;1,6;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;06-12-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/44a1fb95-af8d-4f63-8e9e-f09928324092;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;0,097;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;06-12-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/44a1fb95-af8d-4f63-8e9e-f09928324092;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;3,59;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;06-12-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/44a1fb95-af8d-4f63-8e9e-f09928324092;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;312;Jern; =;0,63;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;06-12-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/44a1fb95-af8d-4f63-8e9e-f09928324092;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;13;pH; =;8,2;pH;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;22-11-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9dc7927d-aabc-4b8e-8f86-f9ae4e4a2c75;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;435;BOD ufortyndet; =;2,4;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;22-11-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9dc7927d-aabc-4b8e-8f86-f9ae4e4a2c75;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;2,1;mg/l;9999999;;3
